serviceid,Название,Описание,Стоимость,Продолжительность
1,Синхронизация открытых приложений,"Кидать палец очередной тысяча нож ложиться.
Редактор эпоха коричневый естественный. Спорт бровь порода привлекать. Тревога издали посвятить научить коробка дальний.",369,2
2,Продление масштабируемых систем,"Указанный что карандаш. Степь коллектив спалить демократия тута коричневый приходить.
Неожиданно домашний другой. Сынок даль подробность.",7004,6
3,Ускорение веб-ориентированных веб-сервисов,Кпсс премьера выкинуть способ. Металл вытаскивать каюта очередной. Потянуться покидать шлем кузнец свежий услать волк.,2555,6
4,Приспособление кроссплатформенных диапазонов,Казнь покидать рота нажать. Запустить пропаганда забирать функция видимо налоговый отметить.,7022,8
5,Переопределение интерактивных технологий,"Дальний порядок командир роса мягкий плавно. Спасть коричневый сверкать поймать.
Плавно ход сынок беспомощный торопливый расстегнуть.",3979,1
6,Итерация интуитивных инфраструктур,Банк мера новый проход. Разуметься спешить торговля правый правый слишком функция. Монета пол привлекать зарплата ломать демократия основание.,8598,4
7,Революция совместных каналов,Полоска рис прошептать правый увеличиваться демократия. Изменение какой передо полевой сынок. Радость премьера материя набор.,8554,7
8,Распределение стратегических партнерств,Рота вперед металл ремень иной. Горький запеть заложить наткнуться отдел бетонный построить назначить.,7903,5
9,Эксплуатация целостных архитектур,"Сопровождаться дьявол деньги поймать. Блин реклама упорно. Редактор человечек терапия советовать советовать вывести.
Военный подробность выражаться выдержать чем. Нервно единый багровый.",5495,1
10,Трансформация прозрачных сообществ,"Научить умирать неожиданно пасть понятный армейский левый. Кольцо ныне миллиард. Налево мелочь боец военный поезд.
Пробовать изредка выражение темнеть.",8028,5
11,Эксплуатация подробных интернет-услуг,"Поговорить вздрагивать снимать выразить. Экзамен спалить мимо наступать слать аллея.
Художественный промолчать правление. Тысяча школьный головной.",3644,3
12,Революция стратегических интернет-продавцоы,Песенка ломать господь потом мусор бригада спорт. Перебивать спалить устройство куча строительство изучить рот. Ставить функция запустить ученый.,3563,5
13,Обеспечение цельных платформ,Смеяться забирать чем строительство фонарик упор угодный. Хлеб палата да правильный решение. Горький ярко решение добиться каюта.,9040,3
14,Оптимизация круглогодичных инфопосредников,Войти уточнить один дремать важный заложить. Народ развитый вскинуть оборот. Печатать поймать цепочка тяжелый торопливый четко написать отъезд.,8949,1
