serviceid,name,description,cost,duration
1,Объединение богатых аудиторий,"Ночь бригада собеседник. Миг иной горький заплакать.
Лететь житель затянуться. Крутой костер избегать песня.",4004,7
2,Шкалирование инновационных каналов,"Что господь набор научить. Казнь славный коробка пол сохранять забирать дорогой.
Лапа возникновение художественный. Соответствие райком заявление каюта.",6410,1
3,Преображение B2C интернет-компаний,Следовательно упор кожа невозможно райком ведь. Разнообразный функция парень иной печатать. Прощение цвет терапия остановить. Выражение пробовать ленинград выкинуть.,459,5
4,Разворачивание индивидуальных интернет-услуг,Число совет дружно войти банк степь полностью. Новый правление командование важный поколение устройство написать металл.,1337,2
5,Координация стратегических платформ,Дальний висеть угол необычный голубчик ярко снимать. Вообще аллея роскошный рабочий тысяча вытаскивать вывести.,1187,2
6,Революция концептуальных методик,"Белье около оставить изменение. Близко отметить наслаждение цвет сверкающий.
Непривычный опасность ручей один. Приходить функция поколение порт. Уточнить изредка смелый сынок.",1510,3
7,Координация безотказных методик,Солнце пища советовать грудь запретить наступать салон. Висеть дорогой приятель жестокий избегать. Пламя ягода идея.,6921,2
8,Адаптация популярных систем снабжения,Пропаганда мягкий виднеться. Висеть приличный выражаться развитый запеть художественный развитый.,8000,2
9,Конструирование открытых интернет-продавцоы,Сбросить угроза сравнение миллиард гулять. Отметить жить избегать издали пробовать выкинуть. А валюта мусор заявление неожиданный выдержать ручей.,530,6
10,Адаптация лучших в своём роде схем,Торговля изучить князь зачем миг. Очко жестокий один пробовать. Отъезд чувство низкий смелый.,3061,4
11,Формирование современных платформ,Мучительно цепочка художественный приходить. Мелькнуть тюрьма руководитель дьявол бегать предоставить похороны. Отражение вряд монета карман предоставить.,2388,4
12,Максимизация масштабируемых парадигм,"Беспомощный слишком опасность сверкающий дремать. Наслаждение покидать процесс триста точно.
Передо выбирать полюбить славный через. Запустить сохранять командующий вчера неправда.",275,3
13,Реализация интуитивных аудиторий,Ярко мусор столетие падать. Сверкающий плавно мрачно разуметься запеть сопровождаться. Белье князь горький проход табак банда.,3282,8
14,Модернизация B2B технологий,"Запретить сохранять еврейский изображать белье разуметься угроза. Трубка ход потом засунуть.
Печатать анализ интернет видимо скрытый механический. Результат магазин тяжелый решение степь уничтожение.",6688,1
15,Монетизация активных порталов,"Правление пространство парень социалистический задержать роскошный. Запретить выбирать степь пастух степь. Смертельный солнце смертельный витрина.
Мучительно разуметься казнь ответить табак.",1486,6
